CODIGO;MUNICIPIO;MUNICIPALES_PRIMERA;PARTICULARES_PRIMERA;SUBVENCIONADOS_PRIMERA;450_MUNICIPALES;450_PARTICULARES;450_SUBVENCIONADOS
9107;GORBEA;38;0;2;14;0;2
9108;LAUTARO;253;0;5;126;0;1
9109;LONCOCHE;130;0;47;83;0;36
9110;MELIPEUCO;20;0;19;11;0;10
9111;NUEVA IMPERIAL;164;0;186;68;0;97
9112;PADRE LAS CASAS;0;0;281;0;0;130
9113;PERQUENCO;53;0;7;22;0;3
9114;PITRUFQUÉN;76;0;339;39;0;185
9115;PUCÓN;82;0;159;50;0;87
9116;SAAVEDRA;26;0;0;11;0;0
9117;TEODORO SCHMIDT;12;0;8;0;0;3
9118;TOLTÉN;41;0;0;26;0;0
9119;VILCÚN;68;0;101;46;0;56
9120;VILLARRICA;192;25;564;127;24;375
9121;CHOLCHOL;9;0;109;1;0;42
9201;ANGOL;528;20;197;247;20;143
9202;COLLIPULLI;93;0;84;32;0;56
9203;CURACAUTÍN;134;0;0;77;0;0
9204;ERCILLA;5;0;2;1;0;0
9205;LONQUIMAY;69;0;0;27;0;0
9206;LOS SAUCES;41;0;0;8;0;0
9207;LUMACO;30;0;0;7;0;0
9208;PURÉN;103;0;0;48;0;0
9209;RENAICO;54;0;0;9;0;0
9210;TRAIGUÉN;99;0;83;40;0;61
9211;VICTORIA;241;0;190;92;0;137
10101;PUERTO MONTT;708;177;1617;393;170;1119
10102;CALBUCO;164;0;89;77;0;69
10103;COCHAMÓ;15;0;0;2;0;0
10104;FRESIA;50;0;64;20;0;30
10105;FRUTILLAR;107;15;35;53;14;31
10106;LOS MUERMOS;84;0;102;28;0;67
10107;LLANQUIHUE;62;0;34;22;0;23
10108;MAULLÍN;50;0;4;25;0;2
10109;PUERTO VARAS;121;152;254;52;152;205
10201;CASTRO;429;0;163;278;0;108
10202;ANCUD;103;0;308;70;0;185
10203;CHONCHI;33;0;41;11;0;14
10204;CURACO DE VÉLEZ;35;0;0;14;0;0
10205;DALCAHUE;26;0;0;9;0;0
10206;PUQUELDÓN;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
