metros_plaza,metros_parque,personas,tiene arboles
814723,5000,159,Sí
145303,343633,192,Sí
443930,382219,274,Sí
862181,164000,120,Sí
315000,161612,145,Sí
99362,74717,253,Sí
382145,92000,229,Sí
237461,373750,408,Sí
2576707,252712,307,Sí
58082,0,57,Sí
40210,0,70,Sí
638619,242683,110,Sí
752055,0,43,Sí
42722,55649,41,Sí
1372230,202919,361,Sí
,,107,Sí
50854,0,31,Sí
153982,20100,147,Sí
43455,46753,148,Sí
23155,15095,,Sí
94434,5400,66,Sí
22050,0,26,Sí
16291,0,25,Sí
317721,114700,,Sí
90000,0,49,Sí
85595,0,35,Sí
290000,24000,98,Sí
230166,301078,97,Sí
112083,322352,239,Sí
4163,332763200,26,Sí
35928,0,41,Sí
,,,Sí
15400,100000,30,Sí
55000,35000,34,Sí
48783,0,49,Sí
23246,98050,80,Sí
225706,20000,65,Sí
24799,0,37,Sí
19448,38139,28,Sí
28000,0,59,Sí
358253,153181,419,Sí
1000,0,11,Sí
12401,0,20,Sí
2500,0,13,Sí
645000,71000,183,Sí
85380,0,46,Sí
108911,30497,34,Sí
29585,0,60,Sí
15625,0,22,Sí
25910,0,32,Sí
7362,0,44,Sí
28459,0,,Sí
17500,0,34,Sí
,,,Sí
,,,Sí
23872,0,33,Sí
19081,51512,22,Sí
10000,0,29,Sí
7338,20375,24,Sí
5500,7500,,Sí
168800,82226,19,Sí
21282,0,62,Sí
21925,0,22,Sí
9500,0,26,Sí
36300,4180,33,Sí
225706,20000,65,Sí
24799,0,37,Sí
19448,38139,28,Sí
28000,0,59,Sí
358253,153181,419,Sí
1000,0,11,Sí
12401,0,20,Sí
2500,0,13,Sí
645000,71000,183,Sí
85380,0,46,Sí
108911,30497,34,Sí
29585,0,60,Sí
15625,0,22,Sí
25910,0,32,Sí
7362,0,44,Sí
28459,0,,Sí
17500,0,34,Sí
,,,Sí
,,,Sí
23872,0,33,Sí
19081,51512,22,Sí
10000,0,29,Sí
7338,20375,24,Sí
5500,7500,,Sí
168800,82226,19,Sí
21282,0,62,Sí
21925,0,22,Sí
9500,0,26,Sí
36300,4180,33,Sí
